genome_id	genome	genus	species
Alteromonas_australica_SAMN07136710	Alteromonas australica BGEO AFAMJGBL 	Alteromonas	Alteromonas australica
Alteromonas_mediterranea_SAMN07136710	Alteromonas mediterranea BGEO KAKDCGPF 	Alteromonas	Alteromonas mediterranea
Alteromonas_naphthalenivorans_SAMN07136711	Alteromonas naphthalenivorans BGEO EOPKMDLC 	Alteromonas	Alteromonas naphthalenivorans
Alteromonas_macleodii_SAMN07136711	Alteromonas macleodii BGEO NHALNJBN 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMN07136715	Alteromonas sp. BGEO KOEDIAMF 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMN07136718	Alteromonas macleodii BGEO FMLMDJCG 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421563	Alteromonas macleodii MALA OGDDIGDA 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421660	Alteromonas macleodii MALA BCLNBHCC 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMN05421660	Alteromonas australica MALA DPEMGBDK 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMN05421699	Alteromonas macleodii MALA LKMOJPCD 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421706	Alteromonas macleodii MALA CKJAFDPA 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421707	Alteromonas macleodii MALA GFCKOHMB 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421901	Alteromonas macleodii MALA KALOONEP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05421913	Alteromonas macleodii MALA FAHHIFON 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMN05422104	Alteromonas australica MALA FCEGNAFB 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMN05422104	Alteromonas macleodii MALA PHLAGPEP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422106	Alteromonas macleodii MALA IKNIELCH 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422107	Alteromonas macleodii MALA FBOLMPMJ 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422110	Alteromonas macleodii MALA AHCIDJHN 	Alteromonas	Alteromonas macleodii
